affiliation_name,n
Teesside University ,20
Omdurman Islamic University ,18
University of the East ,10
Kaduna State University ,52
International Crops Research Institute <br>for the Semi-Arid Tropics ,11
University of Abuja ,26
Sapienza University of Rome ,10
Redeemer's University ,20
University of Leeds ,88
Cairo University ,20
Abdou Moumouni University ,4
University of Lisbon ,10
Bangor University ,22
University of Yaoundé I ,21
French Institute of Health and <br>Medical Research ,11
ECWA Bingham University ,31
Council of Scientific and Industrial <br>Research ,9
SupAgro ,10
Jomo Kenyatta University of Agriculture <br>and Technology ,62
Nasarawa State University ,11
Nelson Mandela African Institution <br>of Science and Technology ,8
Enugu State University of Science <br>and Technology ,11
University of London ,12
"Modibbo Adama University of Technology, <br>Yola ",10
Entertainments National Service <br>Association ,14
Chinese Ministry of Education ,7
Forest Research ,13
Midlands State University ,10
Complutense University of Madrid ,7
Yahoo! ,10
"Ecole Nationale des Eaux et Forêts, <br>Bobo Dioulasso ",8
Aarhus University ,96
Stockholm University ,88
Air Force Institute of Technology ,10
University of Hyderabad ,6
University of Göttingen ,22
Appalachian State University ,22
iThemba Laboratory ,16
University of Helsinki ,10
Federal University of Pernambuco ,11
Food and Agriculture Organization ,88
M S Swaminathan Research Foundation ,10
Jiangsu University ,29
Ohio State University ,20
University of Maroua ,30
University of Huddersfield ,20
University of Kinshasa ,10
North Carolina State University ,40
University of Antananarivo ,31
Rhine-Waal University of Applied <br>Sciences ,114
Suez Canal University ,11
South African Medical Research <br>Council ,88
State University of Bangladesh ,11
South African National Parks ,9
Federal University of Technology <br>Minna ,11
University of Dodoma ,35
Czech University of Life Sciences <br>Prague ,21
City University of New York ,20
Gombe State university ,9
China Agricultural University ,8
University of York ,11
Gaston Berger University ,10
Polish Academy of Sciences ,10
Wuhan University ,11
Mangosuthu University of Technology ,9
Bowen University ,12
Abant Izzet Baysal University ,10
University of British Columbia ,11
Guru Ghasidas University ,11
Center for International Forestry <br>Research ,10
Bells University of Technology ,84
University of Benin ,22
Savitribai Phule Pune University ,10
University of Ilorin ,156
University of Wollongong ,10
University of Strasbourg ,11
Eduardo Mondlane University ,248
Bayero University Kano ,86
University of Fort Hare ,286
African Institute of Science and <br>Technology ,28
University of Antwerp ,222
United States Department of Agriculture ,31
Sri Venkateswara University ,11
University of Maiduguri ,38
Osun State University ,31
Damietta University ,10
Indian Ministry of Environment <br>and Forests ,11
Deutsches Archäologisches Institut ,10
University of Malawi ,10
Michigan State University ,80
University of Milan ,10
University of Messina ,10
Rhodes University ,12
Plateau State University ,11
University of Melbourne ,12
University of Canterbury ,12
Selçuk University ,10
Centre National de la Recherche <br>Scientifique et Technologique ,8
Ho Polytechnic ,8
"Laboratoire de Sciences et Technologie <br>des Aliments et Bioressources et <br>de Nutrition Humaine, Ecole des <br>Sciences et Techniques de Conservation <br>et de Transformation des Produits <br>Agricoles, Centre Universitaire <br>de Sakété, Université Nationale <br>d'Agriculture, Cotonou, Benin ",8
Hodges University ,10
National Open University of Nigeria ,6
Agricultural Research Council of <br>South Africa ,11
Dresden University of Technology ,40
World Agroforestry Centre ,433
Victoria University of Wellington ,10
College of Charleston ,24
University of Pavia ,20
King Saud University ,17
University of Macau ,10
National Research Foundation of <br>South Africa ,10
Qassim University ,10
North-West University ,10
King Abdulaziz University ,11
Kogi State University ,13
Osmania University ,10
Purdue University ,50
Ladoke Akintola University of Technology ,19
Zhejiang University of Technology ,10
Landmark University ,10
"University of Agriculture, Faisalabad ",32
Indian Institute of Technology <br>Dhanbad ,10
University of Botswana ,20
University of Maryland College <br>of Agriculture and Natural Resources ,11
University of Ghana ,11
Soonchunhyang University ,10
Universidade Federal de Santa Maria ,11
VU University Amsterdam ,10
University of Malaya ,11
Kenya Forestry Research Institute ,11
Jagiellonian University ,10
University of Washington ,6
University of Pisa ,10
University of Basilicata ,10
Devi Ahilya Vishwavidyalaya ,11
Babeș-Bolyai University ,193
University of Limpopo ,342
Cheikh Anta Diop University ,186
Ahmadu Bello University ,212
University of Bordeaux ,88
Wageningen University and Research <br>Centre ,58
Goethe University Frankfurt ,36
University of Southampton ,216
Université d'Abomey-Calavi ,27
Babcock University ,19
"University of Nigeria, Nsukka ",69
University of Zimbabwe ,37
Egerton University ,21
Ahfad University for Women ,12
University of Hohenheim ,28
Federal University Oye Ekiti ,48
Kakatiya University ,18
Tshwane University of Technology ,205
"University of California, Los Angeles ",10
University of Uyo ,5
Center for Food Safety and Applied <br>Nutrition ,21
"University of Maryland, College <br>Park ",10
Mansoura University ,11
University of Giessen ,22
Forestry Research Institute of <br>Ghana ,12
University of Naples Federico II ,10
Budapest University of Technology <br>and Economics ,8
Taraba State University ,6
University of Kassel ,34
Neelain University ,11
Afe Babalola University ,107
Makerere University ,12
Université libre de Bruxelles ,12
Delta State University ,6
"Institut de l’Environnement et <br>de Recherches Agricoles (INERA)/Centre <br>National de la Recherche Scientifique <br>et Technologique (CNRST), BP 10 <br>Koudougou, Burkina Faso, Université <br>Nazi Boni, Laboratoire des systèmes <br>Naturelles, des Agrosystèmes et <br>de l’Ingénierie de l’Environnement <br>(Sy.N.A.I.E) ",8
Ethiopian Institute of Agricultural <br>Research ,10
McDonald Institute for Archaeological <br>Research ,10
State University of Norte Fluminense ,10
University of Bonn ,12
University of KwaZulu-Natal ,80
Mammal Research Institute ,160
Bioversity International ,139
University for Development Studies ,10
Lagos State University ,31
National University of Benin ,196
University of Copenhagen ,128
École Normale Supérieure ,44
Lund University ,80
Centre national de la recherche <br>scientifique ,109
University of Ferrara ,31
Keele University ,11
Bindura University of Science Education ,10
Shimane University ,10
Woods Hole Oceanographic Institution ,33
University of Aberdeen ,10
University of Namibia ,96
University of the West of Scotland ,10
University of Karachi ,10
Kenyatta University ,10
"University of Natural Resources <br>and Life Sciences, Vienna ",20
University of Montpellier ,10
Sefako Makgatho Health Sciences <br>University ,88
Academy of Sciences of the Czech <br>Republic ,10
Università Campus Bio-Medico ,10
Kwame Nkrumah University of Science <br>and Technology ,10
Addis Ababa University ,10
Leibniz Association ,22
"College of Health Sciences, Bahrain ",21
Sokoto State University ,5
Russian Academy of Sciences ,10
World Vision International ,4
University of Mauritius ,10
Kumoh National Institute of Technology ,11
University of Mainz ,12
Michael Okpara University of Agriculture ,9
Texas Tech University ,64
Nigerian Defence Academy ,10
Ethiopian Environment and Forest <br>Research Institute ,13
Maasai Mara University ,64
University of Parma ,11
Advanced Chemistry Development ,10
University of the Witwatersrand ,345
Swansea University ,89
Free University of Berlin ,20
Ghent University ,122
Northwest A&F University ,10
University of Valladolid ,18
Chinese Academy of Sciences ,10
University of Delhi ,10
United Nations Development Programme ,88
Joseph Ayo Babalola University ,6
University of Johannesburg ,100
Universidade Federal de Minas Gerais ,20
University of Pretoria ,202
University of Ibadan ,133
Kwara State University ,21
Monash University ,115
Stellenbosch University ,39
Mekelle University ,11
University of Oxford ,9
International Fund for Agricultural <br>Development ,18
Chinhoyi University of Technology ,21
University of Guelph ,10
Zhejiang University ,49
University of the Gambia ,20
Harvard University ,11
Botanical Survey of India ,4
Avinashilingam Institute for Home <br>Science and Higher Education for <br>Women ,9
Kordofan University ,32
Oregon State University ,10
University of Lausanne ,12
Texas State University ,10
Sana'a University ,10
Saint Joseph's University ,10
University of al-Jazirah ,7
"Federal University of Agriculture, <br>Abeokuta ",16
University of Jena ,32
Karnatak University ,10
University of Dar es Salaam ,10
Université du Québec ,96
University of N'Djamena ,96
University of Zalingei ,10
University of Zululand ,10
Nelson Mandela University ,11
University of Cape Town ,108
University of South Africa ,36
University of Khartoum ,74
University of Ouagadougou ,142
University of Queensland ,47
Universidade Federal do Vale do <br>São Francisco ,11
University of Dschang ,21
National Agriculture and Food Research <br>Organization ,5
University of Dammam ,10
P.G. College ,21
Federal University of Technology <br>Akure ,21
Baze University ,19
ETH Zurich ,20
University of Freiburg ,10
Mzuzu University ,56
Norwegian University of Life Sciences ,11
Health Science University ,11
University of Ngaoundéré ,51
Oxford Brookes University ,23
University of Dhaka ,11
Tarim University ,20
Instituto Superior de Agronomia ,10
University of Wisconsin-Madison ,22
Korea University ,11
Dar es Salaam University College <br>of Education ,8
University of Gondar ,24
Vaal University of Technology ,11
Royal Botanic Gardens ,30
Sokoine University of Agriculture ,11
Glyndŵr University ,11
University of Port Harcourt ,11
Uthman dan Fodiyo University ,25
AGH University of Science and Technology ,10
Abubakar Tafawa Balewa University ,18
Kampala International University ,10
"University of Agriculture, Makurdi ",15
Forestry Research Institute of <br>Nigeria ,10
Jodhpur National University ,11
International University of Africa ,10
University of Rostock ,108
Karunya University ,10
Council for Geoscience ,11
