id,query,timestamp,factual_score,total_sources,citation_accuracy,claim_details,contradicting_claims,verified_claims,unverified_claims,source_credibility_score,fact_check_coverage
1,sea cucumber,2025-01-29T16:19:17.448648,0.0,0,0.0,[],0,0,0,0.0,0.0
2,tilapia,2025-01-29T21:00:31.411255,0.0,0,0.0,[],0,0,0,0.0,0.0
3,tell me somthing about the data,2025-01-29T21:35:02.882005,0.0,0,0.0,[],0,0,0,0.0,0.0
4,sea weed,2025-01-30T09:26:15.856703,0.0,0,0.0,[],0,0,0,0.0,0.0
5,sea weed,2025-01-30T12:22:02.465244,0.0,0,0.0,[],0,0,0,0.0,0.0
6,sea weed,2025-01-30T12:29:33.153508,0.0,0,0.0,[],0,0,0,0.0,0.0
7,sea cucumber,2025-01-30T12:38:32.143882,0.0,0,0.0,[],0,0,0,0.0,0.0
8,sea weed,2025-01-30T14:58:32.393728,0.0,0,0.0,[],0,0,0,0.0,0.0
9,sea cucumber,2025-01-30T21:27:28.557955,0.0,0,0.0,[],0,0,0,0.0,0.0
10,sea cucumber,2025-01-30T21:28:19.692167,0.0,0,0.0,[],0,0,0,0.0,0.0
11,sea weed,2025-01-31T11:10:46.719866,0.0,0,0.0,[],0,0,0,0.0,0.0
12,sea weed,2025-01-31T11:19:29.412806,0.0,0,0.0,[],0,0,0,0.0,0.0
13,sea weed,2025-01-31T11:21:38.043825,0.0,0,0.0,[],0,0,0,0.0,0.0
14,Sclerocarya birrea,2025-01-31T11:47:11.020381,0.0,0,0.0,[],0,0,0,0.0,0.0
15,sea cucumber,2025-01-31T12:32:11.877756,0.0,0,0.0,[],0,0,0,0.0,0.0
16,Sclerocarya birrea,2025-01-31T12:56:00.930126,0.0,0,0.0,[],0,0,0,0.0,0.0
17,Sclerocarya birrea,2025-01-31T13:13:58.947568,0.0,0,0.0,[],0,0,0,0.0,0.0
18,Sclerocarya birrea,2025-01-31T13:31:51.626198,0.0,0,0.0,[],0,0,0,0.0,0.0
19,sea weed,2025-01-31T13:35:48.982801,0.0,0,0.0,[],0,0,0,0.0,0.0
20,Sclerocarya birrea,2025-01-31T13:56:08.190269,0.0,0,0.0,[],0,0,0,0.0,0.0
21,Sclerocarya birrea,2025-01-31T14:56:28.162178,0.0,0,0.0,[],0,0,0,0.0,0.0
22,Sclerocarya birrea,2025-01-31T15:03:07.549892,0.0,0,0.0,[],0,0,0,0.0,0.0
23,Sclerocarya birrea,2025-01-31T18:42:53.859478,0.0,0,0.0,[],0,0,0,0.0,0.0
24,sea cucumber,2025-01-31T18:47:23.806160,0.0,0,0.0,[],0,0,0,0.0,0.0
25,Sclerocarya birrea,2025-01-31T18:52:41.280584,0.0,0,0.0,[],0,0,0,0.0,0.0
26,sea weed,2025-01-31T19:02:12.879768,0.0,0,0.0,[],0,0,0,0.0,0.0
27,sea cucumber,2025-01-31T19:12:50.527598,0.0,0,0.0,[],0,0,0,0.0,0.0
28,sea weed,2025-01-31T19:16:41.820282,0.0,0,0.0,[],0,0,0,0.0,0.0
29,sea weed,2025-01-31T19:21:59.289468,0.0,0,0.0,[],0,0,0,0.0,0.0
30,sea horse,2025-01-31T19:27:52.414311,0.0,0,0.0,[],0,0,0,0.0,0.0
31,Sclerocarya birrea,2025-01-31T19:44:00.211130,0.0,0,0.0,[],0,0,0,0.0,0.0
32,Sclerocarya birrea,2025-01-31T19:47:44.084129,0.0,0,0.0,[],0,0,0,0.0,0.0
33,kangaroo,2025-01-31T19:56:30.230082,0.0,0,0.0,[],0,0,0,0.0,0.0
34,Sclerocarya birrea,2025-01-31T22:14:50.395644,0.0,0,0.0,[],0,0,0,0.0,0.0
35,liones,2025-01-31T22:19:40.216239,0.0,0,0.0,[],0,0,0,0.0,0.0
36,cheetah,2025-01-31T22:29:51.309008,0.0,0,0.0,[],0,0,0,0.0,0.0
37,sea cucumber,2025-01-31T22:34:00.280645,0.0,0,0.0,[],0,0,0,0.0,0.0
38,Sclerocarya birrea,2025-01-31T22:41:23.822715,0.0,0,0.0,[],0,0,0,0.0,0.0
39,lioness,2025-01-31T22:47:51.320762,0.0,0,0.0,[],0,0,0,0.0,0.0
40,Sclerocarya birrea,2025-02-01T06:56:24.563292,0.0,0,0.0,[],0,0,0,0.0,0.0
41,cheetah,2025-02-01T07:12:34.923127,0.0,0,0.0,[],0,0,0,0.0,0.0
42,sea cucumber,2025-02-01T07:21:42.466455,0.0,0,0.0,[],0,0,0,0.0,0.0
43,kangaroo,2025-02-01T07:37:56.383196,0.0,0,0.0,[],0,0,0,0.0,0.0
44,Sclerocarya birrea,2025-02-01T07:54:55.925448,0.0,0,0.0,[],0,0,0,0.0,0.0
45,sea weed,2025-02-01T08:02:31.404486,0.0,0,0.0,[],0,0,0,0.0,0.0
46,Sclerocarya birrea,2025-02-01T08:08:31.619771,0.0,0,0.0,[],0,0,0,0.0,0.0
