id,query,timestamp,coverage_score,coverage_ratio,diversity_score,missed_sources,total_sources,unique_domains,source_depth,cross_referencing_score,domain_variety_score
1,Sclerocarya birrea,,0.0,0.0,0.0,[],10,8,4.1,0.19047619047619047,0.8
2,Sclerocarya birrea,,0.0,0.0,0.0,[],10,8,4.0,0.19047619047619047,0.8
3,sea weed,,0.0,0.0,0.0,[],10,10,4.3,0.047619047619047616,1.0
4,sea weed,,0.0,0.0,0.0,[],10,10,4.3,0.0,1.0
5,Sclerocarya birrea,,0.0,0.0,0.0,[],10,8,4.0,0.19047619047619047,0.8
6,sea weed,,0.0,0.0,0.0,[],10,9,2.7,0.027777777777777776,0.9
7,sea weed,,0.0,0.0,0.0,[],10,10,4.1,0.0,1.0
8,Sclerocarya birrea,,0.0,0.0,0.0,[],10,8,4.1,0.19047619047619047,0.8
9,Sclerocarya birrea,,0.42342205752023676,0.3871265723720204,0.0,[],10,8,4.0,0.09523809523809523,0.8
10,Sclerocarya birrea,,0.461110836733163,0.40991994897576456,0.0,[],10,8,4.0,0.19047619047619047,0.8
11,Sclerocarya birrea,,0.42342205752023676,0.3871265723720204,0.0,[],10,8,4.0,0.09523809523809523,0.8
12,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
13,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
14,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
15,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
16,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
17,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
18,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
19,Sclerocarya birrea,,0.464310836733163,0.4179199489757645,0.0,[],10,8,4.1,0.19047619047619047,0.8
20,sea cucumber,,0.42566495032155405,0.28737666151817076,0.0,[],10,10,3.0,0.03571428571428571,1.0
21,sea cucumber,,0.42566495032155405,0.28737666151817076,0.0,[],10,10,3.0,0.03571428571428571,1.0
22,sea cucumber,,0.41720464434037124,0.27217827751759477,0.0,[],10,10,2.8,0.027777777777777776,1.0
23,sea cucumber,,0.4283026753554819,0.29397097410299033,0.0,[],10,10,3.0,0.03571428571428571,1.0
24,tell me somthing about the data,,0.4144156604089719,0.269372484355763,0.0,[],10,10,2.8,0.022222222222222223,1.0
25,what is data?,,0.41037171887542845,0.27592929718857107,0.0,[],10,10,2.6,0.0,1.0
